================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,303 commercial trades   proven=821  inferred=160  unknown=322
  by method: courier=821  unresolved=322  sector=76  delivery=59  visit=25
  (also 769 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                        Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  20h 03m WYX-052                     Out Silicon Wafers       546   349.21     190,669  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  20h 03m TEL Magpie Sentinel [SPK-7  In  Quantum Tubes         45   375.00      16,875  —                                       [?] unknown
  20h 06m VWB-834                     Out Silicon Wafers       546   361.93     197,614  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  20h 07m OJZ-627                     Out Silicon            1,176   118.20     139,003  ANT Refined Goods Complex II (PYU-350)  [v] proven (courier)
  20h 07m [0x1c7bd]                   Out Energy Cells         202    22.00       4,444  —                                       [?] unknown
  20h 16m OJZ-627                     Out Silicon               64   129.00       8,256  {20103,4801} (XOA-475)                  [v] proven (courier)
  20h 18m WYX-052                     Out Energy Cells         618    20.86      12,891  ANT Weapon Component Factory II (JFD-6  [v] proven (courier)
  20h 23m VWB-834                     Out Silicon Wafers       546   373.83     204,111  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  20h 27m OJZ-627                     Out Silicon            1,176   117.32     137,968  ANT Refined Goods Complex II (PYU-350)  [v] proven (courier)
  20h 37m OJZ-627                     Out Silicon              974   113.13     110,189  ANT Refined Goods Complex I (QCD-100)   [v] proven (courier)
  20h 37m [0x1ca5d]                   In  Silicon            2,400   111.00     266,400  —                                       [?] unknown
  20h 39m VWB-834                     Out Advanced Electro     162  1348.05     218,384  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  20h 40m WYX-052                     Out Microchips           447  1090.00     487,230  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  20h 47m OJZ-627                     Out Silicon              240   112.47      26,993  ANT Silicon Refinery I (ZHQ-624)        [v] proven (courier)
  20h 47m WNP-362                     Out Silicon Wafers       411   318.25     130,801  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  20h 48m VWB-834                     Out Energy Cells       2,170    22.32      48,434  ARG Field Coil Factory I (QQA-416)      [v] proven (courier)
  20h 51m PIO Okinawa [IGT-821]       Out Silicon Wafers     2,333   313.96     732,469  —                                       [?] unknown
  20h 57m TEL Magpie Sentinel [SPK-7  In  Quantum Tubes         20   357.34       7,147  —                                       [?] unknown
  20h 57m ARG Ides Vanguard [HSN-014  Out Silicon Wafers       411   296.86     122,009  —                                       [?] unknown
  20h 58m OJZ-627                     Out Silicon              480   112.84      54,163  ANT Refined Goods Complex I (QCD-100)   [v] proven (courier)
  20h 59m PIO Baldric [SKH-843]       Out Silicon Wafers       594   281.20     167,033  —                                       [?] unknown
  20h 59m WYX-052                     Out Silicon Wafers       546   274.48     149,866  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  20h 59m TEL Vulture Vanguard [LHW-  In  Quantum Tubes         20   357.34       7,147  —                                       [?] unknown
  21h 01m PIO Baldric [OGS-219]       Out Energy Cells      10,700    17.10     182,970  —                                       [?] unknown
  21h 01m [0x1ca5d]                   In  Silicon              960   111.00     106,560  —                                       [?] unknown
  21h 02m VWB-834                     Out Energy Cells       1,443    22.00      31,746  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  21h 03m [0x1ca5d]                   In  Silicon              240   111.00      26,640  —                                       [?] unknown
  21h 06m [0x1ca5d]                   In  Silicon              744   111.00      82,584  —                                       [?] unknown
  21h 07m ARG Mercury Sentinel [RCR-  Out Silicon Wafers       546   232.04     126,694  —                                       [?] unknown
  21h 08m [0x1ca5d]                   In  Silicon              744   111.00      82,584  —                                       [?] unknown
  21h 09m WNP-362                     Out Energy Cells         950    17.69      16,806  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  21h 12m WYX-052                     Out Advanced Electro      54  1343.42      72,545  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  21h 13m VWB-834                     Out Energy Cells       4,492    17.02      76,454  ARG Microchip Factory I (EFP-590)       [v] proven (courier)
  21h 24m ARG Callisto Sentinel [UNL  In  Quantum Tubes         20   357.34       7,147  —                                       [?] unknown
  21h 24m WYX-052                     Out Advanced Electro     108  1341.70     144,904  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  21h 26m WNP-362                     Out Energy Cells       3,060    17.65      54,009  ANT Silicon Refinery I (ZHQ-624)        [v] proven (courier)
  21h 30m [0x1ca5d]                   In  Silicon              960   111.00     106,560  —                                       [?] unknown
  21h 32m VWB-834                     Out Microchips           447  1087.53     486,126  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  21h 32m [0x1ca5d]                   In  Silicon            1,224   111.00     135,864  —                                       [?] unknown
  21h 36m WYX-052                     Out Energy Cells       3,287    17.50      57,522  ANT Ice Refinery II (INL-760)           [v] proven (courier)
  21h 38m ARG Ides Vanguard [HBD-910  In  Quantum Tubes         20   357.34       7,147  —                                       [?] unknown
  21h 40m ARG Ides Vanguard [HBD-910  In  Quantum Tubes         20   357.34       7,147  —                                       [?] unknown
  21h 44m WNP-362                     Out Silicon Wafers       411   421.76     173,343  ARG Microchip Factory I (YRF-111)       [v] proven (courier)
  21h 48m WYX-052                     Out Advanced Electro      54  1338.64      72,287  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  21h 53m VWB-834                     Out Microchips           447  1089.65     487,074  ANT Advanced Electronics Factory I (TQ  [v] proven (courier)
  21h 56m [0x1ca5d]                   In  Silicon              984   111.00     109,224  —                                       [?] unknown
  21h 59m [0x1ca5d]                   In  Silicon            1,248   111.00     138,528  —                                       [?] unknown
  22h 00m WYX-052                     Out Advanced Electro     162  1336.58     216,526  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  22h 01m ARG Mercury Vanguard [ZHK-  Out Energy Cells       6,024    16.33      98,372  —                                       [?] unknown
  22h 02m WNP-362                     Out Energy Cells         800    16.79      13,432  ANT Meat Factory II (AJR-235)           [v] proven (courier)
  22h 03m ANT Ides Sentinel [KFI-508  In  Quantum Tubes         20   357.34       7,147  —                                       [?] unknown
  22h 05m VWB-834                     Out Energy Cells       2,744    16.19      44,425  ANT Smart Chip Factory I (WMZ-888)      [v] proven (courier)
  22h 06m ANT Ides Sentinel [KFI-508  In  Quantum Tubes         40   371.93      14,877  —                                       [?] unknown
  22h 13m WNP-362                     Out Energy Cells         949    17.74      16,835  ANT Meat Factory I (PEU-839)            [v] proven (courier)
  22h 14m VWB-834                     Out Energy Cells         250    19.00       4,750  ANT Argon Defence Platform (ONE-349)    [v] proven (courier)
  22h 15m WYX-052                     Out Silicon Wafers       546   412.72     225,345  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  22h 21m ARG Mercury Vanguard [ZQH-  Out Energy Cells       2,060    16.11      33,187  —                                       [?] unknown
  22h 24m [0x1ca5d]                   In  Silicon            3,227   111.00     358,197  —                                       [?] unknown
  22h 28m WNP-362                     Out Energy Cells       2,073    22.74      47,140  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  22h 28m WYX-052                     Out Energy Cells       2,950    22.70      66,965  ARG Smart Chip Factory III (XYR-289)    [v] proven (courier)
  22h 29m VWB-834                     Out Energy Cells         780    21.67      16,903  TEL Advanced Electronics Factory I (PI  [v] proven (courier)
  22h 34m ANT Mercury Vanguard [MBX-  In  Quantum Tubes         40   371.93      14,877  —                                       [?] unknown
  22h 41m WYX-052                     Out Advanced Electro      54  1318.00      71,172  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  22h 44m WNP-362                     Out Energy Cells       1,429    18.90      27,008  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  22h 44m VWB-834                     Out Energy Cells       3,600    19.00      68,400  ARG Argon Defence Platform (YTR-408)    [v] proven (courier)
  22h 49m [0x1ca5d]                   In  Silicon            4,000   111.00     444,000  —                                       [?] unknown
  22h 50m WYX-052                     Out Energy Cells          56    19.00       1,064  ANT Argon Defence Platform (NSY-680)    [v] proven (courier)
  22h 56m VWB-834                     Out Advanced Electro      54  1318.00      71,172  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  22h 58m WNP-362                     Out Energy Cells         660    21.38      14,111  ARG Weapon Component Factory I (MMV-07  [v] proven (courier)
  22h 59m JBI-921                     In  Quantum Tubes         20   357.34       7,147  —                                       [?] unknown
  23h 00m WYX-052                     Out Energy Cells         480    18.91       9,077  ARG Weapon Component Factory III (JRZ-  [v] proven (courier)
